"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12489","UPDATE_PROFILE_01: Should open profile editing popup","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","21978","PROMINENT_LOCATION_03: Should switch between locations","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","21855","PROMINENT_LOCATION_02: Should navigate to room list on location click","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","18345","UPDATE_AVATAR_07: Should handle rectangular image upload","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","13538","Should not register with incorrect phone number length","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","20481","PROMINENT_LOCATION_01: Should filter room data by location","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","33649","REVIEW_05: Submit comment without selecting stars → still succeeds","chromium","2026-06-07","failed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","9402","Should show error when only Email is filled","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","21460","REVIEW_06: Extremely long comment → character limit or warning (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","35387","BOOKING_03: Log in directly on room detail page → book room → success + appears in dashboard","chromium","2026-06-07","failed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","30971","Should open signup box","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","14740","Should close register form by clicking outside popup","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","9240","Should not register with all fields empty","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","38389","REVIEW_07: Comment with only spaces → reject submit (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","17850","ROOM_LIST_05: Should focus map on room card click","chromium","2026-06-07","passed","2026-06-07","Room List","homepage/room-list.spec.ts","",""
"","23513","Header - Filter phải hiển thị đúng cấu trúc","chromium","2026-06-07","passed","2026-06-07","","homepage/layout.spec.ts","",""
"","30584","SEARCH_FILTER_02: Should search rooms by valid location","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","48620","Should login successfully","chromium","2026-06-07","failed","2026-06-07","CyberBnB Login","homepage/login.spec.ts","",""
"","18741","UPDATE_PROFILE_06: Should show error for existing email","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","25987","SEARCH_FILTER_06: Should filter rooms by guest count","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","25556","Location Picker - Dữ liệu hiển thị phải khớp với API","chromium","2026-06-07","passed","2026-06-07","","homepage/layout.spec.ts","",""
"","33737","ROOM_03: Click ""Dịch sang tiếng Anh"" → content is translated (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","19896","BOOKING_06: Increase/decrease guest count using +/– → correct values, within min/max limits","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","8862","ROOM_LIST_06: Should maintain markers when zooming map","chromium","2026-06-07","passed","2026-06-07","Room List","homepage/room-list.spec.ts","",""
"","13520","UPDATE_AVATAR_01: Should open photo update popup","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","29884","PROMINENT_LOCATION_04: Should show hover effect on location cards","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","28587","Should not register with invalid email format","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","29924","Should not register with password under 6 characters","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","23276","SEARCH_FILTER_08: Should search by clicking magnifying glass icon","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","13915","BOOKING_07: Click Check-in → opens date picker, select dates → displays correctly on modal","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","10395","BOOKED_01: Should display list of rented rooms","chromium","2026-06-07","failed","2026-06-07","Dashboard - Booked Rooms","dashboard/booked.spec.ts","",""
"","19193","Footer - Kiểm tra cấu trúc các mục thông tin và liên kết","chromium","2026-06-07","passed","2026-06-07","","homepage/layout.spec.ts","",""
