"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13275","BOOKED_01: Should display list of rented rooms","chromium","2026-06-08","failed","2026-06-08","Dashboard - Booked Rooms","dashboard/booked.spec.ts","",""
"","11272","UPDATE_PROFILE_09: Should show error when phone is blank","chromium","2026-06-08","failed","2026-06-08","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","10717","Should close register form by clicking outside popup","chromium","2026-06-08","passed","2026-06-08","CyberBnB Register","homepage/register.spec.ts","",""
"","17216","SEARCH_06: Navigate to room detail → booking modal retains previously selected dates and guest count","chromium","2026-06-08","passed","2026-06-08","Search","homepage/search.spec.ts","",""
"","7421","SEARCH_04: Select dates on homepage → search bar updates with correct selected dates","chromium","2026-06-08","passed","2026-06-08","Search","homepage/search.spec.ts","",""
"","10900","SEARCH_FILTER_06: Should filter rooms by guest count","chromium","2026-06-08","passed","2026-06-08","Search Filter","homepage/search-filter.spec.ts","",""
"","17198","Should show error when only Email is filled","chromium","2026-06-08","passed","2026-06-08","CyberBnB Register","homepage/register.spec.ts","",""
"","18624","Should open signup box","chromium","2026-06-08","passed","2026-06-08","CyberBnB Register","homepage/register.spec.ts","",""
"","8560","UPDATE_AVATAR_09: Should persist avatar after page refresh","chromium","2026-06-08","failed","2026-06-08","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","24314","REVIEW_01: Comment section displays correctly: avatar, name, stars, date, content (BUG)","chromium","2026-06-08","passed","2026-06-08","User Reviews","booking/review.spec.ts","",""
"","11454","Should not register with invalid email format","chromium","2026-06-08","passed","2026-06-08","CyberBnB Register","homepage/register.spec.ts","",""
"","16808","UPDATE_PROFILE_13: Should show error for future date of birth","chromium","2026-06-08","passed","2026-06-08","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","12263","BOOKING_04: Booking modal displays fully: price, reviews, dates, guests, book button, total price, language consistency","chromium","2026-06-08","passed","2026-06-08","Booking","booking/booking.spec.ts","",""
"","9826","Header - Filter phải hiển thị đúng cấu trúc","chromium","2026-06-08","passed","2026-06-08","","homepage/layout.spec.ts","",""
"","1","UPDATE_AVATAR_05: Should reject non-image file format","chromium","2026-06-08","skipped","2026-06-08","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","17349","ROOM_LIST_01: Should display room list with full info","chromium","2026-06-08","passed","2026-06-08","Room List","homepage/room-list.spec.ts","",""
"","15597","REVIEW_07: Comment with only spaces → reject submit (BUG)","chromium","2026-06-08","passed","2026-06-08","User Reviews","booking/review.spec.ts","",""
