"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5375","Location Picker - Displayed locations must match API response data","chromium","2026-07-11","passed","2026-07-11","","homepage/layout.spec.ts","",""
"","6506","UPDATE_AVATAR_03: Should upload image in correct format","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","7050","SEARCH_09: Results page displays full layout: location banner, search bar, filters, room list","chromium","2026-07-11","passed","2026-07-11","Search","homepage/search.spec.ts","",""
"","6740","Should not login with wrong password","chromium","2026-07-11","failed","2026-07-11","CyberBnB Login","homepage/login.spec.ts","",""
"","0","SEARCH_FILTER_07: Should handle excessive guest count","chromium","2026-07-11","skipped","2026-07-11","Search Filter","homepage/search-filter.spec.ts","",""
"","6603","UPDATE_AVATAR_02: Should close photo update popup","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6918","Should show success toast on logout","chromium","2026-07-11","failed","2026-07-11","CyberBnB Login","homepage/login.spec.ts","",""
"","6599","Should show error when Birthday is missing","chromium","2026-07-11","passed","2026-07-11","CyberBnB Register","homepage/register.spec.ts","",""
"","7133","SEARCH_03: Open location picker → display all locations from API","chromium","2026-07-11","passed","2026-07-11","Search","homepage/search.spec.ts","",""
"","7576","PROMINENT_LOCATION_03: Should switch between locations","chromium","2026-07-11","passed","2026-07-11","Prominent Location","homepage/location.spec.ts","",""
"","10856","UPDATE_PROFILE_06: Should show error for existing email","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","8116","ROOM_01: Room detail displays correctly according to API response (name, host, amenities, price, reviews)","chromium","2026-07-11","passed","2026-07-11","Room Detail","booking/room-detail.spec.ts","",""
"","6999","SEARCH_05: Select dates on results page → date picker works normally","chromium","2026-07-11","passed","2026-07-11","Search","homepage/search.spec.ts","",""
"","7913","ROOM_LIST_01: Should display room list with full info","chromium","2026-07-11","passed","2026-07-11","Room List","homepage/room-list.spec.ts","",""
"","6941","Should close login form with X button","chromium","2026-07-11","passed","2026-07-11","CyberBnB Login","homepage/login.spec.ts","",""
"","10106","BOOKING_03: Log in directly on room detail page → book room → success + appears in dashboard","chromium","2026-07-11","failed","2026-07-11","Booking","booking/booking.spec.ts","",""
"","5422","SEARCH_FILTER_06: Should filter rooms by guest count","chromium","2026-07-11","passed","2026-07-11","Search Filter","homepage/search-filter.spec.ts","",""
"","7115","BOOKED_02: Should show message when no rooms rented","chromium","2026-07-11","failed","2026-07-11","Dashboard - Booked Rooms","dashboard/booked.spec.ts","",""
"","1","SEARCH_FILTER_04: Should reject end date before start date","chromium","2026-07-11","skipped","2026-07-11","Search Filter","homepage/search-filter.spec.ts","",""
"","6829","UPDATE_PROFILE_04: Should show error when email is blank","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","7706","Should not register with invalid email format","chromium","2026-07-11","passed","2026-07-11","CyberBnB Register","homepage/register.spec.ts","",""
"","4562","SEARCH_FILTER_05: Should have disabled past dates","chromium","2026-07-11","passed","2026-07-11","Search Filter","homepage/search-filter.spec.ts","",""
"","0","EARNINGS_02: Should restrict access for non-host user","chromium","2026-07-11","skipped","2026-07-11","Dashboard - Earnings","dashboard/earnings.spec.ts","",""
"","1","UPDATE_AVATAR_05: Should reject non-image file format","chromium","2026-07-11","skipped","2026-07-11","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","13660","SEARCH_08: Apply price filter → results change according to filter (BUG)","chromium","2026-07-11","passed","2026-07-11","Search","homepage/search.spec.ts","",""
"","7222","UPDATE_AVATAR_01: Should open photo update popup","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","8593","ROOM_05: Click image → gallery opens, navigate next/prev, close gallery","chromium","2026-07-11","passed","2026-07-11","Room Detail","booking/room-detail.spec.ts","",""
"","6334","UPDATE_PROFILE_07: Should show error when name is blank","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","5068","ROOM_LIST_06: Should maintain markers when zooming map","chromium","2026-07-11","passed","2026-07-11","Room List","homepage/room-list.spec.ts","",""
"","6428","UPDATE_PROFILE_15: Should update successfully with no data changed","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","12515","BOOKING_05: Select past date (Yesterday) → must not apply to check-in (BUG: app allows)","chromium","2026-07-11","passed","2026-07-11","Booking","booking/booking.spec.ts","",""
"","7225","UPDATE_PROFILE_03: Should update profile successfully","chromium","2026-07-11","failed","2026-07-11","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","6387","REVIEW_06: Extremely long comment → character limit or warning (BUG)","chromium","2026-07-11","passed","2026-07-11","User Reviews","booking/review.spec.ts","",""
"","6909","Login form should not have password toggle icon","chromium","2026-07-11","passed","2026-07-11","CyberBnB Login","homepage/login.spec.ts","",""
"","11038","BOOKING_06: Increase/decrease guest count using +/– → correct values, within min/max limits","chromium","2026-07-11","passed","2026-07-11","Booking","booking/booking.spec.ts","",""
"","3183","REVIEW_04: Room with no comments → displays ""No comments""","chromium","2026-07-11","passed","2026-07-11","User Reviews","booking/review.spec.ts","",""
"","0","EARNINGS_03: Should show message when host has no income","chromium","2026-07-11","skipped","2026-07-11","Dashboard - Earnings","dashboard/earnings.spec.ts","",""
"","10298","BOOKING_01: Not logged in click Book → show login request notification","chromium","2026-07-11","passed","2026-07-11","Booking","booking/booking.spec.ts","",""
"","7023","Should close register form with X button","chromium","2026-07-11","passed","2026-07-11","CyberBnB Register","homepage/register.spec.ts","",""
